case,dimension,baseline_deviation,agent_deviation,baseline_nntd,agent_nntd
1,vitc_mg,,0.07231333333333334,,0.1239467907810283
1,k_mg,,0.3175457142857143,,0.1239467907810283
1,mg_mg,,0.1495828571428572,,0.1239467907810283
1,ca_mg,,0.1592666666666666,,0.1239467907810283
1,na_mg,,0.0173134,,0.1239467907810283
1,sugar_g,,0.15159,,0.1239467907810283
1,antioxidant_score,,1.5564038626514343e-05,,0.1239467907810283
2,vitc_mg,,0.3364906666666667,,0.08859388124556865
2,k_mg,,2.2857142857170793e-05,,0.08859388124556865
2,mg_mg,,0.08825142857142859,,0.08859388124556865
2,ca_mg,,0.17055999999999993,,0.08859388124556865
2,na_mg,,0.006175999999999999,,0.08859388124556865
2,sugar_g,,0.005980159999999977,,0.08859388124556865
2,antioxidant_score,,0.012676056338028152,,0.08859388124556865
3,vitc_mg,,0.07340957333333341,,0.10118409682240428
3,k_mg,,0.004794285714285707,,0.10118409682240428
3,mg_mg,,1.7142857142715684e-05,,0.10118409682240428
3,ca_mg,,0.5642666666666666,,0.10118409682240428
3,na_mg,,0.0352532,,0.10118409682240428
3,sugar_g,,4.000000000559112e-07,,0.10118409682240428
3,antioxidant_score,,0.03054740918540158,,0.10118409682240428
4,vitc_mg,,0.36788770666666665,,0.15404960460270486
4,k_mg,,0.00012857142857143345,,0.15404960460270486
4,mg_mg,,0.002722857142857141,,0.15404960460270486
4,ca_mg,,0.00011499999999999843,,0.15404960460270486
4,na_mg,,0.006154,,0.15404960460270486
4,sugar_g,,0.70133844,,0.15404960460270486
4,antioxidant_score,,6.56980838786847e-07,,0.15404960460270486
5,vitc_mg,,0.06267997333333336,,0.07340342572726646
5,k_mg,,0.00039428571428589163,,0.07340342572726646
5,mg_mg,,0.011985714285714266,,0.07340342572726646
5,ca_mg,,0.24823833333333314,,0.07340342572726646
5,na_mg,,0.013319399999999999,,0.07340342572726646
5,sugar_g,,0.1772058800000001,,0.07340342572726646
5,antioxidant_score,,3.934241986081055e-07,,0.07340342572726646
6,vitc_mg,,1.4666666666679855e-05,,0.1759834104108829
6,k_mg,,0.3645762857142857,,0.1759834104108829
6,mg_mg,,0.04138954285714281,,0.1759834104108829
6,ca_mg,,0.2208576666666667,,0.1759834104108829
6,na_mg,,0.5000186000000001,,0.1759834104108829
6,sugar_g,,0.10344351999999997,,0.1759834104108829
6,antioxidant_score,,0.0015835909714184138,,0.1759834104108829
7,vitc_mg,,0.058783066666666696,,0.13125990280717126
7,k_mg,,0.02593142857142847,,0.13125990280717126
7,mg_mg,,5.714285714272397e-06,,0.13125990280717126
7,ca_mg,,0.54886,,0.13125990280717126
7,na_mg,,0.037636,,0.13125990280717126
7,sugar_g,,0.21524696,,0.13125990280717126
7,antioxidant_score,,0.0323561501263894,,0.13125990280717126
8,vitc_mg,,0.009353266666666353,,0.12163111491327334
8,k_mg,,0.009152668693010842,,0.12163111491327334
8,mg_mg,,1.126322188410102e-05,,0.12163111491327334
8,ca_mg,,0.6036293333333316,,0.12163111491327334
8,na_mg,,3.3191489670514327e-07,,0.12163111491327334
8,sugar_g,,0.2238544400000024,,0.12163111491327334
8,antioxidant_score,,0.005416500563121346,,0.12163111491327334
9,vitc_mg,,0.07231333333333334,,0.1239467907810283
9,k_mg,,0.3175457142857143,,0.1239467907810283
9,mg_mg,,0.1495828571428572,,0.1239467907810283
9,ca_mg,,0.1592666666666666,,0.1239467907810283
9,na_mg,,0.0173134,,0.1239467907810283
9,sugar_g,,0.15159,,0.1239467907810283
9,antioxidant_score,,1.5564038626514343e-05,,0.1239467907810283
